Layer[0],Layer[8],Layer[9],Layer[10],classifier
0.416354,0.772674,0.001664,0.000352,1.196484
0.416545,0.793955,0.001600,0.000736,1.218948
0.417345,0.798370,0.001408,0.000672,1.222659
0.416545,0.775810,0.001280,0.000448,1.199651
0.433537,0.779266,0.001440,0.000832,1.220259
0.416417,0.772514,0.001248,0.000416,1.196771
0.415938,0.761570,0.001248,0.000352,1.184260
0.417249,0.788355,0.001472,0.000608,1.213700
0.420225,0.783651,0.001792,0.000352,1.212452
0.419969,0.842211,0.001472,0.000384,1.269924
0.420993,0.773667,0.001568,0.000352,1.202116
0.417345,0.798690,0.001568,0.000416,1.223555
0.417345,0.825314,0.001504,0.000480,1.249635
0.417089,0.824002,0.001376,0.000416,1.247907
0.417057,0.796642,0.001344,0.000640,1.220803
0.435745,0.774850,0.001568,0.000416,1.217731
0.416993,0.769506,0.001280,0.000416,1.193091
0.417089,0.775106,0.001504,0.000384,1.199651
0.417153,0.778370,0.001376,0.000512,1.203203
0.418050,0.767426,0.001344,0.000352,1.192580
0.416353,0.793859,0.001440,0.000384,1.217316
0.416641,0.773698,0.001280,0.000384,1.196899
0.416577,0.802114,0.001344,0.000384,1.225699
0.416289,0.779458,0.001152,0.000384,1.202563
0.416321,0.772802,0.001344,0.000640,1.196323
0.415873,0.774562,0.001376,0.000608,1.197699
