TEE[0-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.703851,0.049347,0.000800,0.013505,0.000896,0.001472,0.001120,0.000384,1.778768
1.713259,0.049219,0.000768,0.013633,0.000640,0.001472,0.001024,0.000352,1.787568
1.728268,0.049539,0.000865,0.013696,0.000832,0.001697,0.001056,0.000384,1.803793
1.700907,0.049251,0.000800,0.013377,0.000800,0.001472,0.001024,0.000384,1.774991
1.740781,0.049540,0.000800,0.013377,0.000576,0.001472,0.001056,0.000352,1.816530
1.712843,0.050083,0.000576,0.013441,0.000832,0.001440,0.001152,0.000352,1.788464
1.695242,0.052388,0.000928,0.013473,0.000608,0.001504,0.000992,0.000416,1.773583
1.721484,0.049987,0.000768,0.013409,0.000608,0.001408,0.001120,0.000384,1.797168
1.740653,0.048675,0.000928,0.013409,0.000608,0.001440,0.000960,0.000352,1.814450
1.701451,0.049411,0.000800,0.013441,0.000864,0.001504,0.001088,0.000384,1.776080
1.688074,0.048835,0.000896,0.013409,0.000640,0.001504,0.000960,0.000352,1.761710
1.677481,0.049187,0.000768,0.013345,0.000608,0.001408,0.000992,0.000384,1.751054
