IN[0],INFER[0-9],OUT[9],TEE[0-9],Layer[10],classifier
0.143109,1.569774,0.066914,1.785333,0.000832,1.787925
0.149445,1.568559,0.084066,1.808438,0.000704,1.810998
0.176870,1.568334,0.066882,1.818582,0.000736,1.820950
0.136996,1.609263,0.087042,1.841110,0.000640,1.844086
0.144804,1.578767,0.069154,1.802421,0.000768,1.805109
0.146853,1.601711,0.078051,1.835799,0.000768,1.838903
0.150053,1.571822,0.074083,1.802806,0.000832,1.805270
0.177317,1.604336,0.086083,1.874520,0.000928,1.877752
0.145701,1.571022,0.065506,1.789109,0.000768,1.791797
0.147972,1.594863,0.081378,1.830198,0.000800,1.832918
0.130212,1.583055,0.070850,1.790261,0.000800,1.792693
0.151428,1.585999,0.089699,1.833174,0.000736,1.835798
0.145317,1.583151,0.066370,1.801238,0.000768,1.803830
0.133988,1.590767,0.087330,1.819222,0.000736,1.821654
0.136516,1.582415,0.068994,1.795126,0.000672,1.797590
0.134148,1.603248,0.078434,1.823478,0.000704,1.826454
0.147524,1.585871,0.067106,1.806613,0.000704,1.809141
0.148036,1.582287,0.079491,1.816150,0.000800,1.818774
0.151876,1.572430,0.065346,1.795989,0.000800,1.798581
0.148773,1.581871,0.078370,1.815606,0.000704,1.818806
0.149060,1.580655,0.066882,1.802677,0.000672,1.804853
0.142628,1.585551,0.084002,1.818870,0.000800,1.821782
0.134532,1.574255,0.071746,1.786613,0.000768,1.788789
0.145668,1.597488,0.079874,1.828598,0.000704,1.830838
0.141253,1.566222,0.063586,1.777845,0.000768,1.780309
0.154372,1.603632,0.072482,1.837686,0.000704,1.840630
0.148581,1.569583,0.063777,1.787733,0.000736,1.790102
0.147236,1.585903,0.076771,1.816150,0.000704,1.818518
0.174885,1.581071,0.071778,1.834230,0.000800,1.836566
0.187653,1.577679,0.065442,1.836854,0.000832,1.839318
0.147396,1.584463,0.071746,1.809846,0.000704,1.812150
0.155141,1.569102,0.066594,1.797141,0.000832,1.799573
0.151461,1.573166,0.070851,1.802294,0.000864,1.804982
0.178757,1.598095,0.069346,1.854519,0.000832,1.857751
0.136292,1.598031,0.072418,1.814389,0.000800,1.817398
0.149956,1.585135,0.072162,1.814006,0.000768,1.816470
0.151077,1.588111,0.080322,1.826518,0.000832,1.829687
0.149092,1.581263,0.065378,1.801333,0.000768,1.803893
0.151012,1.594192,0.078082,1.831286,0.000736,1.834774
0.151204,1.572207,0.071586,1.801621,0.000800,1.804533
0.150564,1.594832,0.080706,1.832438,0.000736,1.835030
0.149572,1.585807,0.065122,1.806485,0.000672,1.808949
0.149860,1.613584,0.076514,1.847158,0.000736,1.849654
0.144452,1.577967,0.065762,1.795061,0.000928,1.797813
0.149380,1.599088,0.069794,1.825046,0.000736,1.828246
0.152772,1.572655,0.074274,1.806965,0.000768,1.809494
0.129860,1.602031,0.121924,1.861015,0.000832,1.864279
0.148964,1.581199,0.073762,1.810869,0.000896,1.813333
0.138852,1.596911,0.078595,1.820982,0.000736,1.824086
0.149957,1.573966,0.067778,1.796885,0.000704,1.799285
0.149541,1.587567,0.084162,1.828086,0.000800,1.830646
0.149444,1.569519,0.072770,1.797813,0.000864,1.800341
0.148069,1.598735,0.079715,1.833783,0.000672,1.836663
0.149701,1.580943,0.069410,1.806454,0.000800,1.809238
0.152548,1.603312,0.086019,1.848727,0.000960,1.851575
0.138628,1.571855,0.065442,1.782005,0.000832,1.784789
0.155429,1.575663,0.070370,1.807862,0.000864,1.810678
0.146308,1.582351,0.071426,1.805877,0.000768,1.808917
0.135588,1.572879,0.066018,1.781045,0.000736,1.783765
0.149380,1.572751,0.073314,1.802037,0.000704,1.804693
0.149028,1.570031,0.066242,1.791893,0.000704,1.794933
0.132900,1.575407,0.109219,1.822614,0.000736,1.825334
0.146052,1.576527,0.066626,1.795509,0.000672,1.797909
0.149668,1.586832,0.085826,1.828758,0.000736,1.831446
0.150501,1.582991,0.071330,1.813110,0.000672,1.815958
0.151269,1.595055,0.079491,1.833367,0.000672,1.836471
0.146148,1.581487,0.070947,1.804726,0.000640,1.807158
0.144132,1.599504,0.073922,1.824406,0.000704,1.827286
0.146564,1.576943,0.066242,1.795445,0.000672,1.797717
0.144997,1.584111,0.081506,1.817430,0.000704,1.820438
0.146372,1.577294,0.066306,1.796789,0.000736,1.799030
0.142916,1.600175,0.081507,1.831222,0.000704,1.834102
0.130756,1.581615,0.064258,1.783861,0.000608,1.786677
0.179973,1.601904,0.079202,1.871895,0.001088,1.875831
0.136100,1.584527,0.070338,1.799030,0.000928,1.801942
0.124899,1.587952,0.075586,1.794837,0.000800,1.797141
0.145412,1.581551,0.071106,1.803989,0.000736,1.806421
0.145573,1.585711,0.077730,1.815830,0.000672,1.818774
0.134500,1.576750,0.065250,1.783572,0.000704,1.785813
0.129188,1.600719,0.073730,1.810389,0.000768,1.813141
0.146405,1.578927,0.064738,1.795862,0.000672,1.798006
0.145508,1.606480,0.076098,1.833942,0.000640,1.836438
0.155365,1.578639,0.069154,1.810806,0.000672,1.813046
0.136836,1.596527,0.083779,1.824310,0.000640,1.827414
0.150885,1.583215,0.066818,1.807638,0.001024,1.810294
0.150469,1.589999,0.076578,1.822582,0.000672,1.824662
0.147269,1.580367,0.064098,1.797878,0.000704,1.800086
0.131172,1.595695,0.086019,1.819670,0.000672,1.822582
0.149284,1.578255,0.071586,1.805013,0.000640,1.807285
0.189254,1.600687,0.065762,1.861943,0.000736,1.864984
0.129476,1.576495,0.068738,1.781173,0.000736,1.784149
0.184901,1.574511,0.071810,1.838070,0.000768,1.840342
0.151269,1.577487,0.067170,1.802966,0.000736,1.805302
0.148901,1.572015,0.065954,1.794390,0.000704,1.796886
0.149061,1.572942,0.066498,1.795509,0.000768,1.798229
0.131556,1.585039,0.072130,1.795157,0.000832,1.797973
0.132708,1.578734,0.092354,1.810517,0.000768,1.812949
0.136900,1.579855,0.073827,1.796982,0.000640,1.799158
0.131908,1.596527,0.073666,1.809141,0.000608,1.812021
0.132036,1.583471,0.064898,1.786677,0.000704,1.789045
