Layer[0],Layer[1],IN[2],INFER[2-10],OUT[10],TEE[2-10],classifier
0.395948,0.017696,0.132676,0.584562,0.063810,0.784376,1.202084
0.395340,0.017889,0.134244,0.583665,0.063554,0.784855,1.202244
0.396044,0.017792,0.132644,0.584530,0.065378,0.785720,1.204612
0.396108,0.017601,0.133956,0.587281,0.064322,0.788631,1.206468
0.396332,0.017665,0.134884,0.602161,0.083459,0.824152,1.242181
0.396780,0.017569,0.129924,0.584561,0.064386,0.782519,1.201028
0.396299,0.017985,0.138308,0.584113,0.064962,0.790615,1.209027
0.396876,0.017504,0.142981,0.599377,0.067458,0.813560,1.232420
0.397068,0.017825,0.135108,0.589009,0.065314,0.794295,1.213572
0.396684,0.017536,0.130404,0.585265,0.069859,0.788920,1.207428
0.425453,0.017696,0.123940,0.596626,0.071266,0.794968,1.242597
0.396396,0.017761,0.138276,0.584881,0.064194,0.790647,1.209284
0.396651,0.017568,0.137380,0.596306,0.064354,0.801560,1.220132
0.396364,0.017441,0.136484,0.584465,0.064322,0.788247,1.206436
0.396268,0.017664,0.123332,0.584081,0.062658,0.773751,1.191939
0.397739,0.017761,0.128228,0.601394,0.066626,0.799672,1.219684
0.397356,0.017760,0.137508,0.584753,0.065794,0.791479,1.210788
0.398316,0.017601,0.137764,0.585265,0.063874,0.790199,1.210628
0.395531,0.017665,0.144420,0.598546,0.065442,0.812184,1.229476
0.397483,0.017793,0.132836,0.584145,0.063682,0.783735,1.202915
0.397419,0.017537,0.139396,0.581233,0.066626,0.790327,1.209187
0.423373,0.017856,0.140740,0.593169,0.065378,0.803992,1.249381
0.396363,0.017729,0.125540,0.584113,0.063970,0.777271,1.195651
0.395564,0.017729,0.136100,0.584241,0.063138,0.786903,1.204260
0.396364,0.017792,0.136068,0.583665,0.064066,0.787063,1.205379
0.395979,0.017536,0.124324,0.581841,0.064770,0.774167,1.192739
0.396267,0.017568,0.126596,0.600754,0.076098,0.807096,1.225860
0.396587,0.017793,0.139236,0.584561,0.063074,0.790199,1.208835
0.396812,0.017665,0.138212,0.584337,0.064130,0.790199,1.209060
0.395724,0.017632,0.141508,0.602290,0.070818,0.818072,1.235876
0.397292,0.018048,0.133412,0.584722,0.064418,0.786136,1.206020
0.396300,0.017697,0.125635,0.584242,0.063681,0.777078,1.195620
0.399852,0.038593,0.142532,0.600818,0.070146,0.817432,1.261189
0.397964,0.017761,0.117731,0.589842,0.064417,0.775895,1.196388
0.397996,0.017729,0.128868,0.591537,0.065378,0.789239,1.209156
0.413484,0.017633,0.132004,0.603698,0.066658,0.805944,1.241733
0.397195,0.017697,0.130404,0.586993,0.064514,0.785783,1.206339
0.397132,0.017633,0.129380,0.607282,0.070306,0.810776,1.230213
0.398700,0.017728,0.139973,0.588177,0.065666,0.797528,1.218116
