Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-8],Layer[9],Layer[10],classifier
0.421009,0.017665,0.203720,0.005280,0.048130,0.000832,0.013728,0.000416,0.172935,0.001376,0.000384,0.894211
0.415376,0.017857,0.203560,0.004864,0.047970,0.000672,0.013633,0.000448,0.173031,0.001408,0.000352,0.886851
0.433585,0.017633,0.203304,0.004864,0.048098,0.000736,0.013633,0.000352,0.181799,0.001376,0.000320,0.915140
0.420785,0.017632,0.203016,0.004833,0.048001,0.000800,0.013664,0.000608,0.170951,0.001408,0.000576,0.889571
0.420272,0.017697,0.203464,0.004960,0.048034,0.000832,0.013696,0.000417,0.165862,0.001344,0.000416,0.884962
0.415537,0.017536,0.202696,0.004929,0.067298,0.000832,0.013697,0.000448,0.171655,0.001408,0.000576,0.904996
0.416560,0.017760,0.202728,0.005280,0.048066,0.000832,0.013665,0.000384,0.170823,0.001504,0.000352,0.886691
0.420816,0.017440,0.203144,0.005024,0.048290,0.000640,0.013601,0.000640,0.167718,0.001472,0.000384,0.887043
0.418449,0.017664,0.204392,0.004865,0.047905,0.000897,0.013568,0.000608,0.172839,0.001376,0.000320,0.891971
0.436529,0.017665,0.203752,0.005056,0.048962,0.000832,0.013664,0.000448,0.190088,0.001312,0.000352,0.928324
0.416848,0.017632,0.203976,0.004768,0.047938,0.000768,0.013633,0.000416,0.168263,0.001248,0.000352,0.883939
0.421137,0.017696,0.203400,0.004993,0.048578,0.000576,0.013600,0.000608,0.167431,0.001312,0.000416,0.887587
0.419953,0.017504,0.203368,0.004833,0.047905,0.000864,0.013793,0.000384,0.192232,0.001472,0.000416,0.912324
0.417232,0.017409,0.202888,0.005056,0.047874,0.000768,0.013665,0.000384,0.180583,0.001440,0.000608,0.895491
