Layer[0],Layer[1],Layer[2],TEE[3-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.420752,0.017377,0.202216,0.252810,0.000800,0.002016,0.001056,0.000384,0.904899
0.416208,0.017185,0.202120,0.267466,0.000800,0.001888,0.001120,0.000576,0.913475
0.416785,0.017280,0.217801,0.246250,0.000832,0.002048,0.000864,0.000384,0.910340
0.421360,0.017729,0.202376,0.256138,0.000800,0.001952,0.001184,0.000576,0.909283
0.415536,0.017952,0.202504,0.248810,0.000704,0.001888,0.001120,0.000608,0.896387
0.420144,0.017729,0.202376,0.252202,0.000800,0.002048,0.001088,0.000384,0.904131
0.421072,0.017729,0.201992,0.257290,0.000768,0.002272,0.001248,0.000352,0.911299
0.416432,0.018049,0.204040,0.249962,0.000768,0.002144,0.001248,0.000416,0.901507
0.418320,0.017569,0.202344,0.244426,0.000800,0.002272,0.001184,0.000608,0.894595
0.452785,0.017600,0.202472,0.269259,0.000736,0.002816,0.001216,0.000416,0.954981
0.419537,0.018209,0.202312,0.262026,0.000736,0.002048,0.001152,0.000544,0.913668
0.416464,0.017697,0.202504,0.257098,0.000800,0.002144,0.001152,0.000608,0.905795
0.414705,0.017729,0.201991,0.252714,0.000736,0.002017,0.001120,0.000416,0.899172
0.415600,0.017857,0.202792,0.246281,0.000736,0.001952,0.001088,0.000384,0.893027
