Layer[0],Layer[1],Layer[2],IN[3],INFER[3-5],OUT[5],TEE[3-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.397708,0.017632,0.210695,0.144964,0.099555,0.063106,0.311241,0.014624,0.000512,0.001440,0.001280,0.000352,0.962812
0.395979,0.017824,0.192390,0.140164,0.087363,0.061057,0.291976,0.015041,0.000576,0.001568,0.001248,0.000352,0.924091
0.395628,0.017601,0.192581,0.138693,0.087234,0.061218,0.290377,0.015104,0.000512,0.001472,0.001248,0.000384,0.921628
0.395948,0.017632,0.192358,0.130756,0.085891,0.061505,0.281832,0.015137,0.000512,0.001536,0.001376,0.000384,0.913435
0.395180,0.017728,0.192070,0.139716,0.089059,0.064066,0.297769,0.015904,0.000704,0.001536,0.001216,0.000352,0.929243
0.395596,0.017601,0.192133,0.138469,0.087650,0.063842,0.293385,0.015649,0.000576,0.001472,0.001024,0.000384,0.924604
0.396236,0.017600,0.193062,0.127460,0.085730,0.059074,0.275752,0.015297,0.000736,0.001536,0.000960,0.000352,0.908379
0.415308,0.017569,0.192037,0.145765,0.097923,0.066626,0.313610,0.014624,0.000512,0.001440,0.000992,0.000384,0.963708
0.395659,0.017760,0.192294,0.142724,0.086659,0.065154,0.297993,0.015232,0.000544,0.001504,0.000992,0.000384,0.929435
0.397004,0.017889,0.191973,0.126947,0.088739,0.064418,0.283945,0.015104,0.000544,0.001536,0.001024,0.000384,0.916220
0.396044,0.017728,0.192486,0.139300,0.100931,0.110467,0.356138,0.014592,0.000512,0.001504,0.001120,0.000352,0.988061
0.395884,0.017792,0.191941,0.135492,0.088547,0.061794,0.289353,0.014304,0.000512,0.001568,0.001120,0.000352,0.919515
0.394988,0.017697,0.191749,0.140389,0.087938,0.060642,0.292425,0.014624,0.000576,0.001473,0.001088,0.000352,0.921436
0.395467,0.017601,0.191654,0.123203,0.085123,0.059650,0.271112,0.015072,0.000512,0.001472,0.001024,0.000320,0.900922
