Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-7],OUT[7],TEE[6-7],Layer[8],Layer[9],Layer[10],classifier
0.399180,0.017825,0.192005,0.005505,0.047681,0.001056,0.103491,0.046754,0.060673,0.214150,0.002240,0.001248,0.000608,0.888347
0.396652,0.017760,0.192134,0.005376,0.047554,0.001088,0.109955,0.046017,0.058306,0.217446,0.002240,0.001376,0.000640,0.888954
0.394796,0.017536,0.209415,0.005312,0.047361,0.001056,0.105283,0.049506,0.063778,0.221575,0.003360,0.001152,0.000384,0.908795
0.400299,0.017600,0.191622,0.005344,0.047425,0.001056,0.109476,0.048801,0.060002,0.221575,0.002688,0.001376,0.000416,0.896378
0.404140,0.017728,0.191590,0.005344,0.047458,0.001056,0.100867,0.046977,0.060290,0.211686,0.005408,0.001376,0.000448,0.893402
0.395180,0.017856,0.191718,0.005024,0.047362,0.001056,0.112355,0.046081,0.059170,0.220646,0.002272,0.001536,0.000384,0.889754
0.411660,0.017729,0.191398,0.004992,0.047361,0.000800,0.103619,0.062146,0.062754,0.231751,0.003200,0.001504,0.000416,0.917787
0.399660,0.017601,0.191589,0.005120,0.047393,0.000576,0.114211,0.048577,0.063650,0.229479,0.002336,0.001312,0.000384,0.902395
0.394220,0.017761,0.191717,0.005056,0.047490,0.000736,0.120035,0.047905,0.066754,0.238119,0.002432,0.001408,0.000384,0.905275
0.401451,0.017728,0.192198,0.005152,0.048321,0.015777,0.111939,0.062306,0.063874,0.241703,0.002464,0.001088,0.000608,0.934203
0.394476,0.017696,0.191590,0.005216,0.048834,0.000864,0.107075,0.049505,0.063554,0.223494,0.002176,0.001120,0.000608,0.892890
0.400139,0.017665,0.192070,0.005088,0.049121,0.000832,0.111332,0.051137,0.063906,0.229927,0.002592,0.001152,0.000352,0.906203
0.394987,0.017473,0.191782,0.005184,0.048865,0.001024,0.108388,0.049249,0.063490,0.224327,0.002496,0.001024,0.000384,0.893338
