Layer[0],TEE[1-8],Layer[9],Layer[10],classifier
0.418385,0.782208,0.001440,0.000384,1.209681
0.417072,0.799521,0.001504,0.000448,1.225745
0.415793,0.770623,0.001408,0.000416,1.194801
0.416529,0.774527,0.001344,0.000416,1.199824
0.416528,0.803745,0.001472,0.000416,1.228369
0.417425,0.771199,0.001344,0.000416,1.196816
0.416241,0.773471,0.001280,0.000416,1.197744
0.440082,0.770463,0.001344,0.000416,1.218705
0.416881,0.765119,0.001408,0.000384,1.190160
0.416529,0.779839,0.001504,0.000480,1.219473
0.417425,0.800480,0.002208,0.000640,1.228530
0.416848,0.778367,0.001696,0.000544,1.204656
0.417168,0.798720,0.001312,0.000640,1.223857
0.416529,0.780800,0.001536,0.000384,1.205745
0.417425,0.806304,0.001472,0.000640,1.232466
0.439441,0.801409,0.001408,0.000384,1.249330
0.416081,0.755838,0.001280,0.000608,1.180143
0.416176,0.764799,0.001312,0.000384,1.188783
0.416753,0.771295,0.001568,0.000416,1.197072
0.416209,0.762943,0.001216,0.000384,1.187504
0.417648,0.785215,0.001344,0.000608,1.211856
0.415504,0.773311,0.001312,0.000416,1.197264
0.416337,0.771423,0.001345,0.000384,1.195985
0.414929,0.789120,0.001344,0.000416,1.212049
0.416497,0.765566,0.001184,0.000448,1.189936
0.416625,0.770207,0.001504,0.000352,1.195248
0.436850,0.775135,0.001152,0.000320,1.220145
0.416784,0.778976,0.001312,0.000320,1.202320
0.416049,0.757823,0.001280,0.000640,1.182352
0.439762,0.780991,0.001217,0.000352,1.230290
0.415377,0.767935,0.001280,0.000384,1.191984
0.416144,0.796064,0.001408,0.000384,1.220177
0.415857,0.792095,0.001184,0.000384,1.215441
0.416849,0.770527,0.001440,0.000352,1.194928
0.415313,0.789440,0.001440,0.000384,1.213585
0.416177,0.798112,0.001376,0.000608,1.223025
0.416913,0.797536,0.001216,0.000352,1.221265
0.415409,0.798912,0.001184,0.000320,1.238610
0.415729,0.770047,0.001216,0.000384,1.194352
0.416401,0.769631,0.001280,0.000384,1.194512
0.437841,0.766719,0.001312,0.000384,1.212848
0.415729,0.765343,0.001248,0.000640,1.189744
0.416561,0.790784,0.001184,0.000352,1.215825
0.417969,0.809248,0.001472,0.000384,1.236050
0.416529,0.780960,0.001344,0.000384,1.205169
0.417265,0.810785,0.001344,0.000576,1.236466
0.415665,0.762654,0.001472,0.000608,1.186768
0.416721,0.758046,0.001312,0.000384,1.182991
