Layer[0],Layer[1],TEE[2-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.440017,0.017569,0.731133,0.000928,0.014305,0.000576,0.001472,0.001056,0.000320,1.216848
0.416528,0.017953,0.737885,0.000832,0.013921,0.000384,0.001504,0.000960,0.000352,1.198223
0.415856,0.017345,0.732541,0.000832,0.014016,0.000608,0.001408,0.001152,0.000320,1.192143
0.419952,0.017280,0.717373,0.000864,0.014208,0.000352,0.001440,0.001024,0.000384,1.181391
0.419984,0.017728,0.723549,0.000928,0.014625,0.000576,0.001440,0.001088,0.000352,1.188239
0.417265,0.017473,0.756446,0.001280,0.014272,0.000384,0.001536,0.000992,0.000353,1.219281
0.421680,0.017281,0.720573,0.000864,0.013952,0.000384,0.001440,0.001056,0.000384,1.185231
0.416912,0.017729,0.733693,0.000896,0.013985,0.000608,0.001504,0.001120,0.000352,1.194383
0.417105,0.017312,0.746302,0.000768,0.013921,0.000352,0.001536,0.001088,0.000384,1.207632
0.416080,0.017568,0.782367,0.000832,0.013889,0.000416,0.001440,0.000992,0.000352,1.241873
0.415761,0.020641,0.734813,0.001216,0.014593,0.000832,0.001408,0.000992,0.000320,1.198704
0.434066,0.017600,0.742782,0.001120,0.014560,0.000640,0.001505,0.000992,0.000352,1.220177
0.416689,0.017280,0.726621,0.000832,0.014113,0.000416,0.001472,0.001056,0.000352,1.187151
0.416080,0.017441,0.717244,0.000768,0.013985,0.000576,0.001408,0.001056,0.000352,1.177198
0.450546,0.017505,0.720157,0.000736,0.013888,0.000544,0.001408,0.000992,0.000384,1.214416
0.415824,0.017473,0.733885,0.000864,0.014017,0.000832,0.001472,0.001024,0.000288,1.194767
0.420305,0.017537,0.743325,0.001152,0.014337,0.000384,0.001376,0.001056,0.000384,1.208496
0.419728,0.017504,0.735485,0.000928,0.014401,0.000384,0.001472,0.000896,0.000352,1.199279
0.420304,0.017281,0.728957,0.000800,0.014145,0.000864,0.001440,0.000960,0.000224,1.192847
0.419280,0.017601,0.772031,0.000800,0.014528,0.000608,0.001408,0.000960,0.000384,1.236081
0.415760,0.017313,0.733693,0.000896,0.014017,0.000416,0.001440,0.001024,0.000352,1.192943
0.415504,0.017505,0.734397,0.001088,0.014209,0.000736,0.001504,0.000960,0.000352,1.194447
0.415601,0.017697,0.761758,0.000896,0.014240,0.000576,0.001408,0.000960,0.000320,1.221873
0.415984,0.017377,0.720125,0.000800,0.013952,0.000800,0.001440,0.000992,0.000384,1.180046
0.416368,0.017473,0.733245,0.000928,0.014113,0.000608,0.001472,0.001056,0.000352,1.194767
0.434417,0.017665,0.725757,0.001152,0.014272,0.000608,0.001472,0.000993,0.000352,1.204720
0.416144,0.017473,0.692187,0.000704,0.014016,0.000416,0.001344,0.001056,0.000352,1.151021
0.420305,0.017217,0.727356,0.000768,0.014049,0.000576,0.001440,0.001056,0.000320,1.190287
0.415249,0.017504,0.732765,0.001088,0.014113,0.000384,0.001376,0.000928,0.000352,1.191375
0.415633,0.017633,0.723868,0.000736,0.014593,0.000384,0.001408,0.001120,0.000384,1.183567
0.415665,0.017248,0.758783,0.000928,0.015808,0.000608,0.001440,0.001024,0.000352,1.220304
0.415505,0.017697,0.726908,0.000768,0.013985,0.000608,0.001440,0.001024,0.000352,1.185487
0.417009,0.017504,0.722461,0.000832,0.014305,0.000832,0.001408,0.000960,0.000352,1.183215
0.417105,0.017569,0.756350,0.000864,0.014176,0.000576,0.001440,0.001153,0.000320,1.216785
0.415856,0.017536,0.721245,0.001312,0.015393,0.000576,0.001472,0.001088,0.000384,1.183951
0.415216,0.017185,0.734045,0.000864,0.013985,0.000608,0.001472,0.001056,0.000384,1.192847
0.415984,0.036258,0.737949,0.001088,0.014753,0.000608,0.001440,0.001216,0.000384,1.217040
0.415600,0.017569,0.721212,0.000800,0.015136,0.000576,0.001408,0.000928,0.000384,1.181038
0.417201,0.017825,0.729340,0.000769,0.014048,0.000672,0.001472,0.001184,0.000384,1.190607
0.432401,0.017504,0.731677,0.000704,0.014017,0.000608,0.001408,0.001056,0.000416,1.207440
0.416016,0.017697,0.728509,0.000800,0.015232,0.000608,0.001505,0.000928,0.000352,1.189455
0.415984,0.017409,0.720093,0.001152,0.014688,0.000576,0.001376,0.001056,0.000320,1.180622
0.418673,0.017633,0.734493,0.000704,0.014080,0.000864,0.001504,0.001120,0.000352,1.197232
0.414865,0.017409,0.733533,0.000736,0.014016,0.000640,0.001568,0.001056,0.000384,1.191471
