Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415504,0.017537,0.202760,0.005280,0.228649,0.000832,0.014593,0.000416,0.001568,0.001280,0.000384,0.897379
0.420113,0.017728,0.202440,0.005089,0.228424,0.000928,0.014336,0.000416,0.001568,0.001120,0.000384,0.901187
0.420241,0.017760,0.202439,0.005281,0.230697,0.000832,0.014496,0.000416,0.001568,0.001153,0.000352,0.904228
0.416081,0.019297,0.202216,0.005248,0.236649,0.000896,0.014273,0.000384,0.001472,0.000992,0.000352,0.907108
0.421648,0.017504,0.201896,0.005248,0.230537,0.000832,0.014432,0.000640,0.001440,0.001120,0.000352,0.904355
0.436626,0.017696,0.202216,0.005281,0.228361,0.000896,0.014240,0.000352,0.001472,0.001024,0.000352,0.917892
0.420177,0.017472,0.202440,0.005088,0.231913,0.000800,0.014112,0.000480,0.001504,0.001088,0.000352,0.904899
0.420817,0.017601,0.202664,0.005280,0.234825,0.000832,0.014241,0.000608,0.001472,0.001088,0.000384,0.908868
0.420752,0.017921,0.202248,0.004896,0.261995,0.000960,0.014400,0.000416,0.001504,0.001088,0.000416,0.936836
0.420849,0.017664,0.202024,0.005088,0.227785,0.000865,0.014176,0.000416,0.001536,0.001152,0.000384,0.900867
0.416112,0.017696,0.202248,0.005376,0.228713,0.001120,0.014016,0.000416,0.001600,0.001024,0.000384,0.897699
0.420240,0.017889,0.202024,0.005376,0.229801,0.001120,0.014209,0.000608,0.001568,0.000960,0.000576,0.903011
0.433393,0.017569,0.202312,0.005248,0.221481,0.000896,0.013952,0.000417,0.001536,0.001088,0.000352,0.907044
0.415697,0.017536,0.202312,0.004896,0.238058,0.001248,0.014272,0.000576,0.001472,0.001056,0.000608,0.905956
0.417169,0.017536,0.202344,0.005249,0.238889,0.000960,0.014241,0.000384,0.001472,0.001056,0.000352,0.908452
0.416785,0.017793,0.202536,0.005280,0.250378,0.000928,0.014272,0.000416,0.001536,0.001120,0.000320,0.920292
0.415792,0.017697,0.202056,0.005248,0.222761,0.000928,0.014048,0.000417,0.001472,0.001056,0.000448,0.890019
0.416721,0.017728,0.202600,0.005121,0.219592,0.000960,0.014017,0.000448,0.001568,0.001056,0.000384,0.888707
0.415888,0.017728,0.201960,0.004896,0.239178,0.000864,0.014144,0.000384,0.001472,0.001185,0.000448,0.907684
0.433681,0.017729,0.202024,0.005184,0.238089,0.000864,0.014977,0.000384,0.001568,0.000992,0.000352,0.924292
0.417072,0.017633,0.202120,0.005024,0.230089,0.000864,0.014433,0.000384,0.001536,0.001216,0.000384,0.899043
0.420944,0.018305,0.202280,0.004800,0.234409,0.000864,0.014496,0.000608,0.001600,0.000960,0.000768,0.908355
0.416304,0.017601,0.202248,0.005184,0.245354,0.001120,0.014145,0.000352,0.001536,0.001088,0.000576,0.914052
0.416112,0.017889,0.202568,0.005280,0.222409,0.000960,0.014400,0.000384,0.001504,0.001024,0.000640,0.892579
0.417680,0.017697,0.202184,0.005056,0.221801,0.001056,0.014144,0.000704,0.001504,0.000992,0.000800,0.892227
0.419985,0.017569,0.202600,0.004896,0.236137,0.000896,0.014753,0.000416,0.001536,0.001024,0.000384,0.908996
0.454353,0.017696,0.202984,0.004896,0.226889,0.000960,0.013985,0.000384,0.001440,0.000992,0.000608,0.934500
0.416688,0.017825,0.203208,0.005280,0.230537,0.000864,0.014209,0.000448,0.001472,0.001056,0.000384,0.901571
0.415473,0.017601,0.202439,0.004897,0.228297,0.000896,0.014336,0.000448,0.001504,0.001024,0.000577,0.896388
0.416112,0.017697,0.201992,0.005280,0.253802,0.000896,0.013985,0.000448,0.001536,0.001056,0.000384,0.921828
0.415984,0.017441,0.202280,0.005216,0.231241,0.000864,0.014753,0.000416,0.001472,0.000864,0.000384,0.899171
0.415857,0.017504,0.202215,0.005313,0.224904,0.000896,0.013888,0.000384,0.001440,0.001088,0.000384,0.892163
0.416144,0.017569,0.202183,0.005248,0.228681,0.000832,0.013888,0.000416,0.001440,0.000992,0.000385,0.895076
0.437041,0.017792,0.202376,0.005312,0.228201,0.001025,0.015104,0.000448,0.001440,0.001088,0.000384,0.919268
0.421552,0.017697,0.202312,0.005216,0.218953,0.000896,0.014368,0.000608,0.001441,0.000960,0.000352,0.892547
0.416208,0.017632,0.201864,0.005280,0.229545,0.000833,0.014240,0.000480,0.001504,0.001024,0.000288,0.896611
0.420560,0.018113,0.202312,0.005312,0.266827,0.000864,0.014080,0.000448,0.001472,0.000928,0.000352,0.939396
0.420944,0.018049,0.202664,0.005408,0.221545,0.000864,0.014048,0.000384,0.001441,0.000992,0.000384,0.895523
0.416560,0.017569,0.203400,0.005280,0.231529,0.000896,0.014465,0.000416,0.001568,0.001024,0.000416,0.902019
0.420912,0.017697,0.202120,0.005184,0.219241,0.000864,0.014720,0.000416,0.001440,0.000960,0.000320,0.891907
0.433201,0.017697,0.203528,0.005280,0.227497,0.000864,0.014496,0.000448,0.001537,0.000960,0.000544,0.914756
0.415601,0.017632,0.202664,0.005345,0.220328,0.000864,0.014177,0.000416,0.001440,0.001024,0.000704,0.888899
0.420688,0.017664,0.202344,0.004800,0.220073,0.000960,0.014209,0.000416,0.001504,0.000992,0.000384,0.892995
