Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-6],OUT[6],TEE[4-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.427756,0.017601,0.191430,0.005088,0.113795,0.104291,0.066722,0.288872,0.000960,0.002848,0.001248,0.000416,0.944347
0.396588,0.017377,0.191461,0.004864,0.120164,0.099171,0.065474,0.288521,0.000832,0.002656,0.001312,0.000352,0.911675
0.397228,0.017472,0.191589,0.005248,0.112260,0.099491,0.067746,0.283017,0.000832,0.003008,0.001312,0.000448,0.907131
0.395628,0.017280,0.208231,0.005216,0.112387,0.104707,0.069058,0.289320,0.000704,0.002880,0.001312,0.000416,0.928091
0.397452,0.017569,0.191621,0.004801,0.113379,0.099491,0.065474,0.281896,0.000736,0.004320,0.001248,0.000480,0.906939
0.396460,0.017376,0.191398,0.004832,0.108803,0.097987,0.066754,0.277128,0.000704,0.005217,0.001344,0.000448,0.901851
0.396300,0.017441,0.191493,0.004896,0.109123,0.096995,0.063586,0.272904,0.000864,0.002688,0.001216,0.000416,0.894939
0.396523,0.017472,0.191622,0.004832,0.111491,0.097411,0.066018,0.278120,0.000768,0.002336,0.001280,0.000384,0.899866
0.399980,0.017889,0.195077,0.004897,0.119523,0.099779,0.068514,0.291560,0.000768,0.002528,0.001504,0.000416,0.923259
0.396812,0.017888,0.192486,0.004864,0.114308,0.104419,0.069730,0.292169,0.001024,0.002720,0.001472,0.000352,0.916379
0.417164,0.017824,0.192710,0.005056,0.116067,0.107076,0.066722,0.293801,0.000800,0.003008,0.001536,0.000384,0.940188
0.397004,0.017825,0.192069,0.005057,0.116707,0.104387,0.065890,0.290312,0.000736,0.002688,0.001504,0.000384,0.914651
0.396268,0.017760,0.192198,0.005408,0.114596,0.098947,0.063618,0.280713,0.000768,0.003136,0.001280,0.000448,0.905179
0.396716,0.017888,0.191654,0.004832,0.102595,0.099395,0.062082,0.267752,0.000864,0.005280,0.001312,0.000384,0.893050
0.397100,0.017568,0.191750,0.004928,0.112931,0.095971,0.063554,0.276136,0.000768,0.002784,0.001344,0.000384,0.899546
0.396076,0.017312,0.191398,0.004928,0.112227,0.096355,0.066338,0.278376,0.001056,0.005216,0.001249,0.000416,0.902683
0.396555,0.017600,0.191270,0.004896,0.110979,0.096067,0.063330,0.273832,0.000832,0.002944,0.001056,0.000896,0.896602
0.418380,0.017409,0.191621,0.005281,0.113091,0.095747,0.062818,0.275112,0.000992,0.002400,0.001120,0.000384,0.919579
0.396236,0.018049,0.191621,0.005345,0.118179,0.103875,0.065282,0.290984,0.000736,0.002528,0.001184,0.000384,0.915227
0.397100,0.017728,0.191494,0.005312,0.110788,0.097699,0.066466,0.278729,0.000704,0.002720,0.001376,0.000416,0.903291
0.396716,0.017600,0.191205,0.004832,0.109604,0.098595,0.084322,0.296201,0.000768,0.003168,0.001280,0.000416,0.919419
0.397292,0.017793,0.191365,0.004864,0.121348,0.096899,0.067266,0.289001,0.000704,0.002560,0.001312,0.000416,0.912443
0.396459,0.017537,0.191270,0.005440,0.119267,0.096835,0.063106,0.282568,0.000768,0.002752,0.001344,0.000416,0.905434
0.396524,0.017600,0.191750,0.004832,0.113283,0.101379,0.064929,0.282760,0.000672,0.002368,0.001344,0.000640,0.904315
0.415148,0.017537,0.191493,0.004960,0.115875,0.100323,0.063970,0.283624,0.001024,0.003168,0.001216,0.000416,0.926011
