Layer[0],Layer[1],TEE[2-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415729,0.017985,0.676571,0.005344,0.048002,0.000832,0.013504,0.000384,0.001440,0.001121,0.000832,1.190160
0.421936,0.017696,0.666459,0.005504,0.047810,0.000896,0.013537,0.000320,0.001504,0.001056,0.000384,1.186223
0.416368,0.017472,0.678875,0.005281,0.048418,0.000800,0.013440,0.000352,0.001504,0.000928,0.000384,1.192783
0.416048,0.017601,0.707932,0.005569,0.048321,0.000832,0.013696,0.000384,0.001504,0.000896,0.000800,1.223504
0.415985,0.017344,0.677755,0.005313,0.048290,0.000832,0.013472,0.000352,0.001568,0.000992,0.000800,1.190415
0.415473,0.017569,0.686171,0.005408,0.048322,0.000800,0.013633,0.000384,0.001504,0.001024,0.000352,1.199760
0.416976,0.017921,0.723325,0.005568,0.048514,0.000864,0.014209,0.000320,0.001536,0.001056,0.000352,1.240529
0.415665,0.017728,0.671067,0.005440,0.048098,0.000768,0.013665,0.000352,0.001536,0.001056,0.000352,1.184879
0.416049,0.017665,0.690715,0.005408,0.047938,0.000832,0.013761,0.000352,0.001568,0.001184,0.000832,1.205296
0.431281,0.017536,0.677147,0.005504,0.047809,0.000896,0.013633,0.000320,0.001536,0.000992,0.000416,1.206064
0.415537,0.017665,0.684507,0.005376,0.049954,0.000800,0.013569,0.000352,0.001408,0.001504,0.000576,1.200880
0.415184,0.017472,0.675419,0.005376,0.048450,0.000800,0.013601,0.000416,0.001632,0.001056,0.000352,1.188175
0.434193,0.017537,0.670203,0.005280,0.048866,0.000864,0.013440,0.000417,0.001376,0.001088,0.000384,1.202128
