Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-10],OUT[10],TEE[4-10],classifier
0.396524,0.017760,0.205926,0.005153,0.120611,0.108291,0.065634,0.297928,0.929243
0.396044,0.017600,0.191270,0.005248,0.114787,0.107907,0.068610,0.294729,0.909851
0.395084,0.017664,0.191750,0.005248,0.111716,0.105699,0.065122,0.285993,0.900315
0.397484,0.017569,0.191109,0.004897,0.114147,0.107395,0.069634,0.294568,0.910715
0.396427,0.017601,0.191526,0.004864,0.114179,0.102531,0.064898,0.284968,0.901082
0.397291,0.017472,0.191302,0.004832,0.118435,0.105604,0.064993,0.292680,0.908443
0.397004,0.017472,0.191366,0.004864,0.108355,0.103460,0.064033,0.279240,0.895835
0.395340,0.017376,0.205734,0.004928,0.117188,0.119907,0.064417,0.305033,0.933563
0.395756,0.017537,0.191525,0.004896,0.114212,0.104003,0.065154,0.287433,0.902907
0.396652,0.017664,0.191558,0.004864,0.106435,0.113316,0.063810,0.287145,0.902555
0.395756,0.017408,0.192038,0.004928,0.114660,0.103459,0.064642,0.286537,0.902331
0.394764,0.017537,0.192261,0.004864,0.108900,0.099011,0.062561,0.274184,0.888378
0.394795,0.017633,0.191781,0.004897,0.101795,0.112099,0.064354,0.281512,0.895226
0.394860,0.017536,0.191814,0.004928,0.105731,0.100259,0.065122,0.274312,0.887898
0.394540,0.017569,0.207366,0.005376,0.109987,0.102019,0.063746,0.280552,0.909819
0.395340,0.017377,0.191429,0.004896,0.105316,0.103555,0.061729,0.273704,0.887131
0.396043,0.017345,0.191333,0.004833,0.111459,0.099843,0.063362,0.277896,0.892218
0.396844,0.017760,0.191366,0.004768,0.117764,0.101443,0.063362,0.285641,0.900955
0.397068,0.017600,0.192582,0.004864,0.120292,0.106243,0.065986,0.296169,0.914139
0.395403,0.017537,0.192006,0.004768,0.090306,0.102244,0.060993,0.257447,0.871257
0.395660,0.017729,0.191941,0.005153,0.119523,0.114532,0.066594,0.304521,0.922620
