Layer[0],Layer[1],Layer[2],TEE[3-10],classifier
0.415792,0.017441,0.202216,0.200392,0.901347
0.416880,0.017473,0.202664,0.193032,0.897699
0.416529,0.017376,0.203336,0.189448,0.891427
0.432369,0.017665,0.202504,0.212136,0.934052
0.416369,0.017632,0.202440,0.191048,0.892803
0.415024,0.017505,0.202632,0.193159,0.894339
0.416401,0.017312,0.203240,0.224489,0.932069
0.416304,0.017441,0.204232,0.202632,0.910467
0.416369,0.017440,0.202184,0.206632,0.908996
0.416305,0.017505,0.203688,0.194855,0.897636
0.432497,0.017313,0.202984,0.204424,0.925124
0.415696,0.017697,0.202632,0.225352,0.926628
0.415632,0.017665,0.202792,0.199688,0.900131
0.416753,0.017633,0.202279,0.218664,0.927237
0.415153,0.017472,0.202088,0.191688,0.889475
0.415696,0.017473,0.202504,0.189927,0.889987
0.415952,0.017441,0.202504,0.197960,0.897475
0.451442,0.017537,0.202568,0.229257,0.967398
0.419088,0.017633,0.206344,0.210985,0.924452
0.418160,0.017729,0.204072,0.200264,0.906883
0.416400,0.017665,0.203080,0.218760,0.925572
0.415984,0.017793,0.203432,0.199880,0.905603
0.416689,0.017568,0.203112,0.182568,0.886595
0.416848,0.018273,0.202408,0.186759,0.892035
0.428657,0.017537,0.201992,0.178663,0.893283
0.417297,0.017761,0.202024,0.206024,0.911524
0.417040,0.017632,0.202152,0.201160,0.906084
0.415728,0.017473,0.202568,0.216617,0.920964
0.416656,0.017441,0.202312,0.198760,0.904451
0.416816,0.017729,0.202088,0.209000,0.913988
0.415248,0.017665,0.202984,0.202376,0.905475
0.431377,0.017505,0.202920,0.201032,0.918756
0.416464,0.017537,0.203048,0.206472,0.909636
0.416913,0.017697,0.202759,0.197608,0.901988
0.416528,0.017505,0.220841,0.212840,0.937349
0.416785,0.017600,0.202120,0.195912,0.900388
0.415120,0.017504,0.202344,0.191848,0.893603
0.417809,0.017632,0.202472,0.211177,0.917860
0.433073,0.017697,0.202504,0.210728,0.930660
0.416080,0.017569,0.202760,0.211112,0.914915
0.416528,0.017857,0.202984,0.188519,0.890755
0.416241,0.017665,0.221352,0.193736,0.918532
0.416817,0.017568,0.202856,0.200264,0.905700
0.417105,0.017633,0.202440,0.204936,0.910596
0.416048,0.017505,0.202600,0.202280,0.905187
0.416272,0.017697,0.202568,0.198216,0.904227
0.416977,0.017696,0.202024,0.188360,0.893379
0.416272,0.017697,0.202408,0.197544,0.903939
0.416272,0.017665,0.219337,0.198695,0.918340
0.416848,0.017441,0.203016,0.195048,0.898691
0.416433,0.017281,0.202120,0.185735,0.884931
0.415824,0.017313,0.202408,0.202600,0.906180
0.429456,0.017600,0.202920,0.198792,0.917124
0.416400,0.017665,0.202440,0.202952,0.905539
0.415856,0.017185,0.202376,0.189831,0.888291
0.415664,0.017473,0.220905,0.205160,0.926212
0.416112,0.017409,0.202152,0.224840,0.924580
0.415441,0.017697,0.202023,0.184936,0.888035
0.415568,0.017601,0.202120,0.189031,0.893475
0.434673,0.017505,0.202024,0.189511,0.911236
0.416049,0.017440,0.202503,0.194024,0.894915
0.416048,0.017473,0.202408,0.193640,0.898851
0.416432,0.017441,0.202120,0.216360,0.919204
0.416048,0.017505,0.202600,0.196839,0.901956
0.416016,0.017248,0.202376,0.190024,0.891331
0.416177,0.017408,0.202152,0.192648,0.893923
0.444529,0.017345,0.202248,0.191496,0.923524
0.415472,0.017249,0.202376,0.190183,0.891746
0.415696,0.017665,0.202152,0.193832,0.894499
0.415600,0.017345,0.202408,0.208072,0.911555
0.415888,0.017281,0.202504,0.182247,0.894211
0.415856,0.017633,0.202440,0.196712,0.907299
0.415760,0.017473,0.202344,0.195591,0.900515
0.432017,0.017505,0.202472,0.203080,0.924901
0.416016,0.017697,0.202824,0.194823,0.898403
0.416176,0.017473,0.202536,0.184519,0.889507
0.416464,0.017505,0.202856,0.227529,0.940036
0.415952,0.017249,0.203176,0.188807,0.891651
0.416464,0.017665,0.202408,0.206312,0.908740
0.416144,0.017665,0.202312,0.198024,0.899107
0.432081,0.017665,0.202312,0.195080,0.915108
0.415281,0.017505,0.202631,0.193864,0.897444
0.416240,0.017536,0.202248,0.193096,0.896419
0.417680,0.017664,0.202280,0.203176,0.909412
0.415569,0.017568,0.202440,0.185704,0.885027
0.415600,0.017441,0.202824,0.202184,0.902979
0.415984,0.017569,0.202632,0.200968,0.905315
0.431345,0.017441,0.203176,0.194503,0.914724
0.415792,0.017473,0.202344,0.195367,0.897891
0.416113,0.017600,0.202088,0.209672,0.916004
0.416496,0.017473,0.202376,0.217320,0.959205
0.415792,0.017313,0.202152,0.201832,0.906499
0.416976,0.017441,0.202408,0.192295,0.896067
0.416272,0.017633,0.202760,0.209768,0.913124
0.432145,0.017569,0.202216,0.202056,0.918980
0.416784,0.018017,0.202216,0.196584,0.901123
0.420912,0.018017,0.206888,0.261322,0.991462
0.419185,0.017761,0.224360,0.219496,0.950086
0.420432,0.017761,0.204904,0.237193,0.954565
0.417841,0.017537,0.203432,0.208232,0.917476
0.416368,0.017825,0.203080,0.188199,0.892163
0.416656,0.017729,0.203048,0.203304,0.908867
0.416496,0.017825,0.203144,0.198504,0.905635
0.416432,0.017505,0.202184,0.210248,0.915460
0.432753,0.017729,0.202952,0.205544,0.929061
0.416720,0.017793,0.202280,0.204328,0.910083
0.416592,0.017537,0.202856,0.215113,0.920228
